U0023,0.456,0.32,0.49,4.0
U0030,0.633,0.455,0.47,2.0
U0042,0.36,0.165,0.335,8.0
U0044,0.624,0.32,0.58,6.0
U0045,0.689,0.65,0.66,2.0
U0046,0.691,0.14,0.54,48.0
U0047,0.603,0.45,0.495,10.0
U0048,0.668,0.005,0.58,22.0
U0049,0.522,0.42,0.48,2.0
U0055,0.859,0.055,0.74,24.0
U0056,0.512,0.4,0.49,2.0
U0057,0.467,0.36,0.505,6.0
U0058,0.42,0.36,0.385,2.0
U0060,0.542,0.445,0.46,2.0
U0065,0.636,0.425,0.49,2.0
U0066,0.814,0.045,0.685,26.0
U0067,0.462,0.335,0.46,2.0
U0071,0.528,0.405,0.445,2.0
U0072,0.789,0.01,0.65,20.0
U0073,0.56,0.305,0.485,8.0
U0074,0.727,0.14,0.615,10.0
U0075,0.576,0.15,0.5,6.0
U0076,0.796,0.01,0.665,16.0
U0077,0.674,0.18,0.545,8.0
U0080,0.518,0.3,0.48,4.0
U0081,0.529,0.28,0.49,4.0
U0082,0.514,0.455,0.505,2.0
U0084,0.39,0.25,0.49,6.0
U0085,0.65,0.23,0.51,8.0
U0086,0.789,0.65,0.665,2.0
U0088,0.644,0.535,0.545,4.0
U0092,0.576,0.045,0.53,10.0
U0093,0.679,0.525,0.62,6.0
U0095,0.707,0.01,0.565,14.0
U0096,0.469,0.185,0.4,4.0
U0097,0.373,0.33,0.385,2.0
U0098,0.513,0.295,0.54,6.0
U0101,0.711,0.225,0.62,10.0
U0102,0.585,0.15,0.43,8.0
U0103,0.652,0.33,0.575,4.0
U0105,0.636,0.645,0.66,2.0
U0106,0.574,0.06,0.47,6.0
U0108,0.426,0.385,0.495,6.0
U0109,0.66,0.6,0.615,2.0
U0110,0.463,0.355,0.49,4.0
U0111,0.537,0.48,0.53,4.0
U0112,0.746,0.565,0.68,2.0
U0113,0.632,0.39,0.51,2.0
U0115,0.691,0.35,0.565,10.0
U0116,0.499,0.11,0.455,10.0
U0117,0.669,0.475,0.59,10.0
U0118,0.65,0.57,0.595,2.0
U0119,0.452,0.37,0.43,2.0
U0120,0.757,0.68,0.69,2.0
U0121,0.436,0.455,0.505,2.0
U0122,0.64,0.47,0.565,2.0
U0123,0.523,0.4,0.43,2.0
U0124,0.583,0.01,0.575,6.0
U0125,0.765,0.535,0.655,8.0
U0127,0.59,0.515,0.54,2.0
U0128,0.426,0.22,0.44,4.0
U0129,0.45,0.41,0.475,4.0
U0130,0.826,0.015,0.605,12.0
U0131,0.837,0.065,0.49,26.0
U0132,0.745,0.555,0.61,6.0
U0133,0.571,0.49,0.575,2.0
U0134,0.675,0.35,0.48,14.0
U0135,0.698,0.095,0.585,12.0
U0136,0.527,0.46,0.48,2.0
U0137,0.57,0.4,0.48,4.0
U0138,0.569,0.48,0.54,2.0
U0139,0.608,0.54,0.55,2.0
U0140,0.482,0.185,0.42,16.0
U0141,0.708,0.47,0.485,4.0
U0142,0.559,0.52,0.56,2.0
U0143,0.503,0.31,0.535,6.0
U0145,0.575,0.42,0.5,4.0
U0147,0.591,0.435,0.52,8.0
U0148,0.665,0.535,0.59,2.0
U0149,0.769,0.515,0.555,2.0
U0150,0.81,0.61,0.655,4.0
U0151,0.697,0.39,0.475,10.0
U0152,0.39,0.185,0.445,4.0
U0154,0.703,0.32,0.645,6.0
U0155,0.609,0.55,0.56,2.0
U0156,0.559,0.4,0.555,6.0
U0157,0.575,0.49,0.545,2.0
U0158,0.516,0.495,0.54,6.0
U0159,0.565,0.44,0.53,2.0
U0160,0.637,0.205,0.475,10.0
U0161,0.72,0.575,0.625,4.0
